iter	Passed	Remaining
0	2	236
1	4	217
2	6	214
3	8	193
4	10	193
5	12	194
6	14	194
7	16	195
8	19	193
9	21	192
10	23	188
11	25	186
12	27	182
13	29	179
14	31	177
15	33	177
16	36	176
17	38	176
18	40	171
19	42	171
20	44	168
21	46	165
22	48	162
23	50	160
24	52	157
25	54	154
26	55	151
27	57	148
28	59	145
29	61	142
30	62	140
31	64	137
32	66	134
33	67	131
34	69	128
35	70	125
36	71	122
37	73	119
38	74	116
39	76	114
40	77	112
41	78	108
42	80	106
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	91	94
49	93	93
50	94	91
51	96	89
52	98	87
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	75
59	110	73
60	112	72
61	114	70
62	116	68
63	118	66
64	120	64
65	122	62
66	123	60
67	125	59
68	127	57
69	129	55
70	131	53
71	132	51
72	134	49
73	136	48
74	138	46
75	140	44
76	141	42
77	143	40
78	145	38
79	146	36
80	148	34
81	150	33
82	152	31
83	155	29
84	157	27
85	159	26
86	161	24
87	163	22
88	165	20
89	166	18
90	168	16
91	170	14
92	172	12
93	173	11
94	175	9
95	177	7
96	178	5
97	180	3
98	182	1
99	184	0
